modell,språk,CER,WER,aligned semantic distance,semantic distance,semantic distance (sBERT),gender
azure,nob,0.15048154884732082,0.22490314166251102,0.260614696067648,0.08676181711123637,0.13557334721333694,kvinne
azure,nob,0.16396756319707023,0.2621580547112462,0.2961650588585009,0.09108847021891694,0.1499543908720689,mann
chirp,nob,0.08575159891577532,0.15712148528904063,0.2485185480534948,0.09037253998925163,0.12979271779825657,kvinne
chirp,nob,0.16550537838973312,0.2542085574000468,0.32646059957535084,0.13040054391858322,0.18673944427099795,mann
chirp_2,nob,0.08595281965492615,0.1573132839771376,0.24988840300920123,0.09163710098044205,0.13170061348560577,kvinne
chirp_2,nob,0.16494256973674823,0.25379939209726443,0.3276289468552885,0.1306412012415473,0.18627287060393338,mann
facebook_mms-1b-all,nno,0.27885102920772425,0.6647556228788373,0.8589365677300815,0.2945219776757951,0.3842488994814241,kvinne
facebook_mms-1b-all,nno,0.2977937699025759,0.6906448223528038,0.9058640691304535,0.3119327289434884,0.41439655552596305,mann
facebook_mms-1b-all,nob,0.23046087440274923,0.5728643216080402,0.8462123525748022,0.2750516430504201,0.3736410401485584,kvinne
facebook_mms-1b-all,nob,0.2588959438142573,0.6196711090328112,0.9024102969087435,0.29813656254592935,0.405403403869803,mann
gcloud,nob,0.17339309457769292,0.24843684069200966,0.35279088697568894,0.13500256847452233,0.20664970519938422,kvinne
gcloud,nob,0.22084294467828747,0.3163627152988855,0.41666334118397585,0.16152225513511015,0.24400301522074233,mann
nb-wav2vec2-1b-bokmaal-v2,nob,0.12098101028593072,0.2396141010395489,0.40495891550181295,0.12949892259592544,0.18718392492485308,kvinne
nb-wav2vec2-1b-bokmaal-v2,nob,0.14508176579233154,0.2947938586236459,0.4538471610504535,0.14268005814295093,0.20578852062568295,mann
nb-wav2vec2-1b-nynorsk,nno,0.19021771172750462,0.3996702011389565,0.57639696444141,0.17032221671812164,0.24563382329273617,kvinne
nb-wav2vec2-1b-nynorsk,nno,0.21398619037109437,0.44769817488422775,0.6242099093218172,0.18233917285462797,0.2696522476267518,mann
nb-whisper-large,nno,0.16256254446405338,0.25653366057561405,0.22813834020760063,0.07519951779165382,0.08446966221630162,kvinne
nb-whisper-large,nno,0.1765496421477441,0.27618009884422307,0.2449966686637484,0.08346274909801665,0.09595173262626465,mann
nb-whisper-large,nob,0.11589525474151026,0.1650427711074456,0.17345579541597841,0.0494090964274151,0.06915895978119145,kvinne
nb-whisper-large,nob,0.13654847684953986,0.19698386719663316,0.19724667961951714,0.05767800375963474,0.08193270007604382,mann
nb-whisper-large-verbatim,nno,0.09014263871802028,0.1857036028608134,0.19339091763653948,0.06477535232104388,0.0787007867390563,kvinne
nb-whisper-large-verbatim,nno,0.10629157864867421,0.21438300190683737,0.2202714361480719,0.07353779341340226,0.0913736496064013,mann
nb-whisper-large-verbatim,nob,0.05543434088371414,0.10257393839426138,0.15000113557082936,0.04628599180606164,0.06944807805478653,kvinne
nb-whisper-large-verbatim,nob,0.07287183023788574,0.1350440339802042,0.17768037783025742,0.052258634550772565,0.08038507790651228,mann
openai-whisper-large,nno,0.18760391322975092,0.387341092554599,0.3722580356597655,0.1440115727024314,0.16492996477459357,kvinne
openai-whisper-large,nno,0.1912696661096573,0.40775187765108767,0.4099933291280423,0.15749000861601875,0.18745427316320057,mann
openai-whisper-large,nob,0.11675142925907367,0.1985116421803675,0.28497343404287234,0.08202472254736103,0.13214331847322983,kvinne
openai-whisper-large,nob,0.1378128145981467,0.2392642818174733,0.3343066852772044,0.09547259024399771,0.1577884657089476,mann
openai-whisper-large-turbo,nno,0.20075544672371168,0.41811592813452725,0.4481327416966121,0.16450925735125652,0.17628252390153779,kvinne
openai-whisper-large-turbo,nno,0.20693555506510705,0.43137331205977353,0.4697502673666707,0.17956622464693103,0.20736146789368753,mann
openai-whisper-large-turbo,nob,0.12221595325366044,0.20894549081284283,0.3363766505430489,0.09807178622574142,0.14686039287203462,kvinne
openai-whisper-large-turbo,nob,0.14439609046158236,0.2474865559971943,0.39362663839068524,0.1170383472165626,0.18115777458227852,mann
