modell,språk,CER,WER,aligned semantic distance,semantic distance,semantic distance (sBERT),year
azure,nob,0.15729230720560583,0.2437899905279233,0.2781074548220509,0.08893540059896209,0.14304929225405386,2024
azure,nob,0.15704119946456713,0.24316174054242137,0.27831642630028347,0.0889162042991517,0.1427341561425816,2025
chirp,nob,0.12612924337480896,0.20648160677350139,0.2887687284268611,0.11134834282161772,0.15924035903507686,2024
chirp,nob,0.12536207956754106,0.20514778372735884,0.2873285365178901,0.11030383946646014,0.15814842250885713,2025
chirp_2,nob,0.12519401533141278,0.20501246834586612,0.28859805397388516,0.11105856412698413,0.15887398944741768,2025
facebook_mms-1b-all,nob,0.2879121527880273,0.6772963002308131,0.8741952132865374,0.2865464066835146,0.3894565972907484,2025
gcloud,nob,0.2197766129717909,0.30180162765073165,0.41131441858952267,0.1661883769941724,0.24740686032397688,2024
gcloud,nob,0.19702071540002253,0.2820069204152249,0.38459514619923674,0.14820761906378196,0.22524918394968857,2025
nb-wav2vec2-1b,nob,0.11710320528156691,0.22062206413949081,0.3309419904105288,0.10166500252633053,0.16913132240621184,2024
nb-wav2vec2-1b-bokmaal-v2,nob,0.1331800323869669,0.2670449053758868,0.4293020295043385,0.13606225661830798,0.19644778352795225,2025
nb-wav2vec2-1b-nynorsk,nno,0.1903867914317482,0.3858344519879861,0.5110579876828929,0.15428628994577845,0.242015997191106,2024
nb-wav2vec2-1b-nynorsk,nno,0.20156841908472808,0.4229576907104986,0.6002046498054143,0.17630586636460516,0.25759341061607866,2025
nb-whisper-large,nno,0.18499473585815351,0.28400629665755645,0.23934550171682803,0.08274514275313077,0.09436516045046243,2024
nb-whisper-large,nno,0.1689582902854444,0.2656378263011,0.2365326731785337,0.07931406065287994,0.09018697413531214,2025
nb-whisper-large,nob,0.1306353421293541,0.18511144188204365,0.18875983241049502,0.055342632901569995,0.07894159286967976,2024
nb-whisper-large,nob,0.12596711081760284,0.18062670352399915,0.18530208279831897,0.053526465574243474,0.07551943790321507,2025
nb-whisper-large-semantic,nno,0.2586789463844693,0.35143461423315014,0.2826161667259663,0.0918418489786547,0.09975110886018135,2024
nb-whisper-large-semantic,nob,0.243339218876975,0.31255920047940305,0.26131130787557305,0.07695904787906928,0.0943253964924615,2024
nb-whisper-large-verbatim,nno,0.10011709025789375,0.20546225385573702,0.20917993980615818,0.0703240462653236,0.08563424135371013,2024
nb-whisper-large-verbatim,nno,0.09778512461748876,0.19949394960742464,0.20677563863091825,0.0691384686500901,0.0850110345717632,2025
nb-whisper-large-verbatim,nob,0.0639850205334952,0.11872958187547118,0.16468088515129514,0.049523763929188384,0.07603368619585166,2024
nb-whisper-large-verbatim,nob,0.06417681148531218,0.11872958187547118,0.16378356818347847,0.04925997300745696,0.07489398087351773,2025
openai-whisper-large,nno,0.4365026419104407,0.518740282190696,0.6558956166804197,0.21608710965505973,0.25909926131901334,2024
openai-whisper-large,nno,0.18893644655666086,0.39690188996301196,0.39104771691153145,0.15072294265113914,0.17614558114164788,2025
openai-whisper-large,nob,0.17886186899293932,0.2970365931453094,0.38918365115209924,0.11060230994684306,0.18199405574108943,2024
openai-whisper-large,nob,0.12708226645497164,0.21821538342579885,0.30953813145500875,0.08872087154506648,0.1449129062496926,2025
openai-whisper-large-turbo,nno,0.2032982062559652,0.4241262421895371,0.4588968402224057,0.17200663156253249,0.191757783203414,2025
openai-whisper-large-turbo,nob,0.13326703034449214,0.2277454524366434,0.36488335936800825,0.10751587961166684,0.1639382213682511,2025
